position;username;user_id;title;text;highlighs;link;location;address;latitude;longitude
79;sugengwahyudi03;85757826.0;Darma_9 - Darmawit Saputra;Otoritas Jasa Keuangan (OJK) mencabut izin usaha usaha PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL) efektif per Senin (5/12).;['Wanaartha Life'];https://twitter.com/Darma_9;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
80;mamat_sura;9.52e+17;Alex Stefanus;@jokowi · #LibatkanNasabahDlmTimLikuidasiWanaarthaLife. Translate post. Peserta Wanaartha Life Tercatat 100 Ribu, OJK: Tim Likuidasi Akan ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1601085057812549635;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
81;balitbanghub151;3610194613.0;Dr.Basroni Kiran.SH.MH;Otoritas Jasa Keuangan (OJK) mengungkap rusaknya laporan keuangan dari Wanaartha Life. Ada penggelapan polis hingga Rp12 triliun! Edan! Wanaartha Life ...;['Wanaartha Life', 'Wanaartha Life'];https://twitter.com/basronikiran;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
82;dibbbbbbbbbbb;524879502.0;limsoeyantho;@limsoeyantho. ·. Apr 19, 2020 · http://theiconomics.com/art-of-execution/wanaartha-life-akan-tempuh-langkah-hukum-untuk-buka-pemblokiran-rekening/… Quote.;['wanaartha-life'];https://twitter.com/limsoeyantho;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
83;cagubnyinyir2;1.01e+18;Alex Stefanus;21/01/22 genap 2 thn uang premi pemegang polis pd SRE Wanaartha Life (WAL) diblokir, disita & dirampas @KejaksaanRI. 11/01/22 genap 3 bln ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1477998214355718144;Palembang,Sumsel,Indonesia;Palembang, Sumatera Selatan;-29.888.297;104.756.857
84;balitbanghub151;3610194613.0;Mutie Septianingsih (@MutieHaryanto) / X;"... @MutieHaryanto. ·. Jul 28, 2016. ""Silaturahim.."" WanaArtha Life terima kasih Pak nasihatnya, berkah kita semua. @haikal_hassan. @haikalbaras. Image.";['WanaArtha Life'];https://twitter.com/MutieHaryanto;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
85;kholiq486;9.4e+17;fhr;dmz_ers @hrdbacot Seru nih, org indo ada 11 orang, 3 orang kasus asuransi wanaartha life. Btw Harun Masiku udah ga ada di list red notice.;['wanaartha life'];https://twitter.com/nukanikufesin/status/1607403899232858112;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
86;sugengwahyudi03;85757826.0;Teenu C Jiriadana;Terima kasih kepada Pak Yanes Y. Matulatuwa (President Director WanaArtha Life), Ibu Mitzi Ranti, Ibu Ellusi, dan Ibu Yenny.;['WanaArtha Life'];https://twitter.com/teenuchandra/status/911475770274361346;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
87;mamat_sura;9.52e+17;jonlik0406 - Johan Likamto;@jonlik0406. ·. Feb 2, 2014. I'm devastated to this condition. Johan Likamto · @jonlik0406. ·. Jan 27, 2014. wanaartha life,walinvest solusi terbaik untuk ...;['wanaartha life'];https://twitter.com/jonlik0406;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499.583;1.132.903.307
88;CimahiGarbi;1.06e+18;Kiki Saragih (@kiki_saragih) / X;Total kewajiban yang harus dibayarkan WanaArtha Life kepada para pemegang polis menyentuh Rp15,7 triliun. Namun, aset perusahaan yang dimiliki tak sampai ...;['WanaArtha Life'];https://twitter.com/kiki_saragih;Malang,JawaTimur;Malang, Jawa Timur, Indonesia;-810.479.815;1.126.879.872
89;balitbanghub151;3610194613.0;Indonesia Raya;Usut Aliran Dana Wanaartha Life, Nasabah Tunjuk Auditor - Iconomics. From theiconomics.com · 3:49 PM · Jun 16, 2022.;['Wanaartha Life'];https://twitter.com/Indones20366386/status/1537462466208473088;MNCNewsCenterLt.11Jakarta;iNews Tower, Jalan Kebon Sirih Jakarta;-61.849.205;1.068.308.589
90;YokoSetyoso;332300097.0;nniiiaasssss - nias damayanti;OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/3K2QqYZCaV lewat @ChangeOrg_ID.;['WanaArtha Life'];https://twitter.com/nniiiaasssss;Bogor,JawaBarat;Bogor, Jawa Barat, 16121, Indonesia;-65.962.986;1.067.972.421
91;dibbbbbbbbbbb;524879502.0;agustina yang (@agustina_yang) ...;agustina yang's posts ... ⁩ Pak Jokowi : tolong luangkan sedikit waktu buat korban investasi wanaartha life. Owner'nya sudah kabur ke Amrik. Pihak OJK tidak bisa ...;['wanaartha life'];https://twitter.com/agustina_yang;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
92;cagubnyinyir2;1.01e+18;TheCropJajang;Sidang Vonis Jiwasraya Ditutup, Nasabah WanaArtha Life Bikin Kericuhan : Okezone Nasional. Sejumlah nasabah WanaArtha Life protes lantaran ...;['WanaArtha Life', 'WanaArtha Life'];https://twitter.com/ChopShopkc1/status/1326812604686245888;BalikpapanTengah,Indonesia;BalikpapanTengah,Indonesia;-12.452.915;1.168.505.397
93;balitbanghub151;3610194613.0;卓俐妍;dan ojk yang saya rasa sdh nilep uang ini. Translate post. money.kompas.com. Nasabah Gagal Bayar Wanaartha Life: Kami Jangan Dibawa Muter- ...;['Wanaartha Life'];https://twitter.com/YeniChubi/status/1532717758219051008;GrahaPena,KebayoranLama12;Graha Pena, Jalan Tanah Baru V, RW 04, Sukabumi Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 12210, Indonesia;-62.150.741;1.067.777.897
94;mauritsjelek;7.15e+17;"""Kami ada dosa apa pak tolong bukakan pintu hati sesuai ...";(Video bag 1) PN Jakpus 3/6/2021: Semua pakar hukum & saksi ahli bilang penyitaan aset nsbh Wanaartha Life oleh @KejaksaanRI adlh cacat ...;['Wanaartha Life'];https://twitter.com/polaroidblur77/status/1403058656220954628;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
95;Geegeehn1;9.86e+17;Christine Jahja (@c_jahja) / X;Christine Jahja · @c_jahja. ·. Jun 14, 2020 · http://Kompas.com https://investor.id/finance/nasabah-wanaartha-life-mengharapkan-rekening-yang-disita- ...;['wanaartha-life'];https://twitter.com/c_jahja;Bekasi,JawaBarat;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
96;Anti_KADRUN;2963528849.0;Yohan Yo;... nasabah Wanaartha Life hanya sebesar 5% dari tagihan. Sementara gagal bayar sudah hampir genap 4 tahun. - Halaman 2. View. 7:06 AM · Dec 15, 2023. ·. 29.;['Wanaartha Life'];https://twitter.com/YohanYo64596277/status/1735556825175769175;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
97;ANTARASumsel;406921837.0;TheCropJajang;... Piter Rasiman. Translate post. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi WanaArtha Life. From m.bisnis.com · 10:20 AM · Nov 12, 2020.;['WanaArtha Life'];https://twitter.com/ChopShopkc1/status/1326832160087531525;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
98;mauritsjelek;7.15e+17;Triple Double (@lor1nser) / X;@lor1nser. ·. Mar 5, 2020. OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! http://chng.it/qvh8pxst via. @ChangeOrg_ID. 1.;['WanaArtha Life'];https://twitter.com/lor1nser;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
99;Geegeehn1;9.86e+17;Kresna Life Insurance (@KresnaLifeID ...;Official Account Of Kresna Life Insurance (PT Asuransi Jiwa Kresna) ... Kresna Life Insurance (@kresnalife) • Instagram photo. From instagram.com.;['Kresna Life', 'Kresna Life'];https://twitter.com/KresnaLifeID;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
100;newsmerahputih;2714869507.0;Kresna Life Insurance;Kresna Life Insurance · @KresnaLifeID. Happy Vesak Day #vesakday · Kresna Life Insurance (@kresnalife) • Instagram photo · From instagram.com · 3:20 AM · May 19 ...;['Kresna Life', 'Kresna Life'];https://twitter.com/KresnaLifeID/status/1129949967794266121;Balikpapan, Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
101;setda_kalteng;9.18e+17;Kresna Life Insurance;Kresna Life Insurance · @KresnaLifeID. Happy Valentines Day! Share the love with everyone around you today!. Image. 1:31 AM · Feb 14, 2019.;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1095857965741965312;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499.583;1.132.903.307
102;ndablekngenoh;9.94e+17;Kresna Life: Kontroversi Putusan PTUN;Kresna Life: Kontroversi Putusan PTUN https://t.co/4JXHgVG5rk.;['Kresna Life'];https://twitter.com/bisnisindo_id/status/1767560248230068599;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
103;SeputariNews;132078023.0;Hitexh;We had jiwasraya case, then kresna life. Now Wanaartha life. OJK knew how screw up wanaartha since 2019 as they didnt publish annual report.;['kresna life'];https://mobile.twitter.com/Rifleamp/status/1600464607998771200;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
104;KompasData;771030588.0;OJK Siapkan Banding, Ini Kronologi Kasus Kresna Life;OJK Siapkan Banding, Ini Kronologi Kasus Kresna Life https://t.co/ZJ43kfq86Q.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1762064608435597753;cianjurjawabarat;Cianjur, Jawa Barat;-6.824.096;1.071.374.006
105;elang33959034;1.11e+18;Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & ...;Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & Wanaartha https://t.co/DWPeuMksqB. ... (Kresna Life). 7:54 AM · Nov 2, 2023. ·. 353. Views. 1.;['Kresna Life', 'Kresna Life'];https://twitter.com/cnbcindonesia/status/1719986437133943099;Jepara;Jepara, Jawa Tengah;-65.906.502;1.106.673.202
106;RakyatMerdeka99;7.12e+17;OJK, Kresna Life, dan Bayang-bayang Langkah Hukum ...;OJK, Kresna Life, dan Bayang-bayang Langkah Hukum Lanjutan https://t.co/yPVnS3uzy4.;['Kresna Life'];https://twitter.com/Bisniscom/status/1762419191603441690;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
107;NounaTalisy;2166144630.0;tempo;Kisruh Kresna Life memasuki babak baru. OJK meminta banding atas putusan PTUN. Nasib nasabah kian terkatung-katung.;['Kresna Life'];https://twitter.com/temponewsroom/status/1769665050355318861;iNews Tower Lantai10;iNews Tower, Jalan Kebon Sirih Jakarta;-61.849.205;1.068.308.589
108;AchmadHelmi19;1.17e+18;Kresna Life Blak-blakan Alasan Tak Segera Penuhi Titah ...;Kresna Life Blak-blakan Alasan Tak Segera Penuhi Titah OJK https://t.co/g4RBJedIlf.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1628598089874542592;KotaYogyakarta,Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
109;SeputariNews;132078023.0;Infobank;Berita tentang dikabulkannya gugatan Kresna Life oleh Pengadilan Tata Usaha Negara (PTUN) Jakarta telah merusak “kewarasan” sektor keuangan.;['Kresna Life'];https://twitter.com/infobanknews/status/1764878673428058530;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
110;BUNGJAH13;1.17e+18;OJK Cabut Izin Usaha Kresna Life;OJK Cabut Izin Usaha Kresna Life https://t.co/AC3qn7Hnjh.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1672217548597915648;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
111;KompasData;771030588.0;Investor Daily;OJK mengungkap sederet ketidakberesan Kresna Life, baik saat upayanya keluar dari sanksi atau saat coba memenuhi kewajiban kepada nasabah.;['Kresna Life'];https://twitter.com/InvestorID/status/1775170873408049281;Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
112;Aarpeceh;560699846.0;Tim Likuidasi Kresna Life Terima Tagihan Rp4,34 Triliun ...;Tim Likuidasi Kresna Life Terima Tagihan Rp4,34 Triliun dari Ribuan Pemegang Polis https://t.co/PJdXryFqoR.;['Kresna Life'];https://twitter.com/Bisniscom/status/1754426662136279242;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
113;RakyatMerdeka99;7.12e+17;OJK Beberkan Alasan Banding ke PTUN usai Pencabutan ...;OJK Beberkan Alasan Banding ke PTUN usai Pencabutan Izin Kresna Life Dibatalkan https://t.co/sE4y6asYNO.;['Kresna Life'];https://twitter.com/Bisniscom/status/1775291006436646925;Balikpapan,Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
114;NounaTalisy;2166144630.0;70% Nasabah Kresna Life Setujui SOL, OJK Ambil ...;70% Nasabah Kresna Life Setujui SOL, OJK Ambil Langkah Ini https://t.co/MUsr6tYXrj.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1646361204393402369;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
115;AchmadHelmi19;1.17e+18;tempo.co;Dikalahkan Kresna Life di PTUN, OJK Ajukan Banding https://t.co/uQQiVvEN7B #TempoBisnis.;['Kresna Life'];https://twitter.com/tempodotco/status/1767755735033909270;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
116;Metro_TV;57261519.0;Investor Daily;Keputusan PTUN yang memenangkan Kresna Life terhadap putusan OJK bisa menimbulkan preseden buruk industri asuransi di masyarakat luas.;['Kresna Life'];https://twitter.com/InvestorID/status/1767409742790697099;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
117;yudhabjnugroho;127182239.0;Investor Daily;Selain menang dalam gugatan CIU Kresna Life, Michael Steven Cs juga memang dalam gugatan sanksi denda miliaran dari OJK di PTUN Jakarta.;['Kresna Life'];https://twitter.com/InvestorID/status/1762110549062823948;Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
118;notbuzzer;158278197.0;OJK Minta Pengendali dan Direksi Kresna Life Ganti Rugi ...;OJK Minta Pengendali dan Direksi Kresna Life Ganti Rugi Pemegang Polis https://t.co/8M4n6Llwqr.;['Kresna Life'];https://twitter.com/KATADATAcoid/status/1672242493742788608;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
119;jpnncom;79130206.0;Michael Steven Mundur dari KREN H-1 Izin Kresna Life ...;Michael Steven Mundur dari KREN H-1 Izin Kresna Life Dicabut https://t.co/QgvWhEb1TX.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1673122242287505409;Jawa Timur,Indonesia;Jawa Timur;-76.977.397;1.124.914.199
120;BNews_Borneo;3028511053.0;Tim Likuidasi Kresna Life Buka Pendaftaran Tagihan ...;Tim Likuidasi Kresna Life Buka Pendaftaran Tagihan Babak Kedua, Ini Caranya! https://t.co/0CVpYMFa8J.;['Kresna Life'];https://twitter.com/Bisniscom/status/1754446037727535561;Batam,Indonesia;Batam, Kepulauan Riau, Indonesia;11.061.034;1.040.378.246
121;IpungLombok;86233947.0;OJK Indonesia;Beberapa kasus perusahaan asuransi spt Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/PT WAL), Asuransi Jiwa Kresna (Kresna Life/PT AJK) ...;['Kresna Life'];https://twitter.com/ojkindonesia/status/1621747849246695424;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
122;Rubby63275173;1.15e+18;CNBC Indonesia;PT Asuransi Jiwa Kresna (AJK/Kresna Life) hari ini, Senin, (5/6/2023) menyerahkan total 22 dus dokumen ke OJK.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1665627169182351361;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
123;Iradiojakarta;73102464.0;Orang Ini Korban Indosurya, Wanaartha, Kresna Life Rp7 ...;Orang Ini Korban Indosurya, Wanaartha, Kresna Life Rp7 M Raib https://t.co/x75LM8OweH.;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1621296391766278146;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
124;Kristiantoid;1.03e+18;Daftar 4 Asuransi Bermasalah yang Izinnya Dicabut OJK ...;Daftar 4 Asuransi Bermasalah yang Izinnya Dicabut OJK, Termasuk Kresna Life https://t.co/3M9AMhn6fY.;['Kresna Life'];https://twitter.com/Bisniscom/status/1766043833291485616;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
125;newsmerahputih;2714869507.0;Andre Lim;Log in · Sign up. Conversation. Andre Lim · @Vermont_07 · #kresna life. 3:33 PM · Jul 8, 2017 · 1. Like.;['kresna life'];https://twitter.com/Vermont_07/status/883710635841699849;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
126;indozonemedia;350668803.0;Investor Daily;Bagi nasabah, putusan PTUN yang mengabulkan pembatalan CIU Kresna Life adalah kesempatan terakhir bagi Grup Kresna. https://t.co/4rfRwcDbOb ...;['Kresna Life'];https://twitter.com/InvestorID/status/1761914613313286151;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
127;IpungLombok;86233947.0;Kresna Life Insurance;Kresna Life Insurance · @KresnaLifeID. 18 Juli 2019 - Investor Daily memberikan penghargaan kepada PT Asuransi Jiwa sebagai Asuransi Terbaik ...;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1152142415634976768;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
128;Iradiojakarta;73102464.0;kumparan;OJK diminta segera ambil langkah tegas soal putusan PTUN yang menangkan Kresna Life. #bisnis #update #bisnis #text https://t.co/sA1R4w1eJ5.;['Kresna Life'];https://twitter.com/kumparan/status/1767438432673165811;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
129;Kristiantoid;1.03e+18;Media Asuransi News;... (Kresna Life). https://t.co/ifeOOrH4Ed. ... (Kresna Life). Translate post. PTUN Jakarta Resmi Batalkan Pencabutan Izin Usaha Kresna Life. From ...;['Kresna Life', 'Kresna Life', 'Kresna Life'];https://twitter.com/Media_Asuransi/status/1762017174603063560;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
130;MAsepDimyati1;9.55e+17;OJK Siapkan Langkah Banding Soal Putusan PTUN ...;OJK Siapkan Langkah Banding Soal Putusan PTUN Kresna Life https://t.co/uYosN05cpM.;['Kresna Life'];https://twitter.com/Bisniscom/status/1762714389206159812;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-51.342.962;1.194.124.282
131;SupyandiH;1.16e+18;Kresna Life Insurance;Kresna Life Insurance · @KresnaLifeID. Segenap Jajaran Direksi, Komisaris dan karyawan PT Asuransi Jiwa Kresna turut berduka cita atas ...;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1172002363336359936;Malang,JAWATIMUR,INDONESIA;Malang, Jawa Timur, Indonesia;-810.479.815;1.126.879.872
132;yusufammar_w;576755999.0;Kresna Life Insurance;Conversation. Kresna Life Insurance · @KresnaLifeID. Selamat Natal 2019 Semoga bahagia dan damai sejahtera selalu menyertai. Translate post.;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1209674830766690304;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499.583;1.132.903.307
133;Azlasy;928840044.0;Respons OJK Usai Sanksi ke Kresna Life dan Michael ...;Respons OJK Usai Sanksi ke Kresna Life dan Michael Steven Dibatalkan PTUN https://t.co/yDjsQzhK2E.;['Kresna Life'];https://twitter.com/merdekadotcom/status/1764666753504997663;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
134;cagubnyinyir2;1.01e+18;Korban Asuransi Kresna Life: Tolong Pak Kapolri Beri ...;Korban Asuransi Kresna Life: Tolong Pak Kapolri Beri Kami Keadilan https://t.co/PWEqXIoDJy.;['Kresna Life'];https://twitter.com/jawapos/status/1567816210246672386;Padang,sumaterabarat;Padang, Sumatera Barat;-0.9247587;1.003.632.561
135;DanielSentanu;9.52e+17;kumparan;... Kresna Life. #bisnisupdate #update #Bisnis #text https://t.co/yrzPpOpIVv. ... Kresna Life. #bisnisupdate #update #Bisnis #text. Translate post.;['Kresna Life', 'Kresna Life'];https://twitter.com/kumparan/status/1762372892036399592;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
136;duansitorus;9.16e+17;CNBC Indonesia;[THREAD] Kresna Life menyatakan harus menunda pembayaran dua produk asuransinya yakni Kresna Link Investa (K-LITA) dan Protecto Investa Kresna (PIK).;['Kresna Life'];https://mobile.twitter.com/cnbcindonesia/status/1293042641290985472;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
137;OfficialRecrowd;1.08e+18;Kresna Life Insurance;"Kresna Life Insurance · @KresnaLifeID. 25 Juli 2019 - PT Asuransi Jiwa Kresna pada ""Rating Asuransi 127 Asuransi Infobank 2019"" mendapatkan ...";['Kresna Life'];https://twitter.com/KresnaLifeID/status/1154376984585097216;Jakarta selatan;Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia;-628.381.815;1.068.048.635
138;tribunkaltim;103551225.0;Kresna Life Insurance;04 Maret 2019 - Kunjungan OJK ke kantor pemasaran Kresna Life Insurance cabang Jakarta Barat @ojkindonesia.;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1102415499747418115;Kalimantan Timur;Kalimantan Timur, Indonesia;0.7884397;1.162.419.977
139;id_laundry;1.16e+18;CNBC Indonesia;Tok! Kresna Life Diputus Pailit, Terus Nasib Nasabah Gimana? https://t.co/WTUIgjfhcw.;['Kresna Life'];https://mobile.twitter.com/cnbcindonesia/status/1403617566895927299;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
140;HADI_GAM76;53261440.0;irvan rahardjo (@irvanrahardjo) / X;SERI BUKU ASURANSI : Robohnya Asuransi Kami - Bumiputera ( 2020);;;Kalimantan Timur,Indonesia;Kalimantan Timur, Indonesia;0.7884397;1.162.419.977
141;fathoonn;1.16e+18;ucink;OJK Bakal Lawan Balik PTUN Soal Putusan Cabut Izin Usaha Kresna Life https://t.co/4Ej6ivBQo8 @KontanNews.;['Kresna Life'];https://twitter.com/catuaries/status/1762364139371192503;banyuwangi,Jatim,Indonesia;Banyuwangi, Jawa Timur, Indonesia;-833.277.885;1.141.416.421
142;Ar_rum;62500965.0;Perbaiki Rasio Solvabilitas, OJK Tetap Minta Kresna Life ...;Perbaiki Rasio Solvabilitas, OJK Tetap Minta Kresna Life Tambah Modal https://t.co/6AsfMHOvI5.;['Kresna Life'];https://mobile.twitter.com/KompasEkonomi/status/1626206273896353796;Lampung,Indonesia;Lampung, Indonesia;-48.555.039;1.050.272.986
143;Resof85;7.43e+17;Indonesia Raya (@Indones20366386) / X;From bisnis.tempo.co · 9 · Indonesia Raya · @Indones20366386. ·. Aug 6, 2023 · Video: Simak Buka-Bukaan OJK Soal Tim Likuidasi Kresna Life! From cnbcindonesia.;['Kresna Life'];https://twitter.com/Indones20366386;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
144;NARAjaTim;8.04e+17;Lyn (@Lolypop502) / X;Uang keringat rakyat Indonesia hilang begitu saja akibat kelalaian OJK WanaArtha dan Kresna Life, malah OJK komunikasi diam2 dengan buronan? Alamat lengkap ...;['Kresna Life'];https://twitter.com/Lolypop502;JawaTengah,Indonesia;Jawa Tengah, Indonesia;-56.259.648;110.371.649
145;refanardhy;1.1e+18;PTUN Kabulkan Gugatan Michael Steven, Cabut Izin ...;PTUN Kabulkan Gugatan Michael Steven, Cabut Izin Usaha Kresna Life Batal! https://t.co/xp2pAV8AyP . ';['Kresna Life'];https://twitter.com/catuaries/status/1762364866432807254;KalimantanKutaiKertanegara;Kalimantan Kutai Kertanegara;-0.423174;1.169.814.363
146;aldomabar;1008579596.0;Gatra Media Group;Kurniadi Sastrawinata selaku Direktur Utama Kresna Life menyampaikan bahwa perusahaan menghadapi keadaan Kahar atau Force Majeur yang diluar ...;['Kresna Life'];https://twitter.com/majalah_gatra/status/1431067209896394763;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
147;OfficialRecrowd;1.08e+18;humas polres malinau;Polri Ungkap Kasus Investasi Ilegal PT. Asuransi Kresna Life @polda_kaltara #polresmalinau #polresmalinaumantap   #polripresisi.;['Kresna Life'];https://twitter.com/HumasResmal/status/1485841555449847809;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
148;Rifqira19065037;9.67e+17;YeniChubi - 卓俐妍;@KejaksaanRI. Juga membantu menunda pembayaran WA. OJK Buka-bukaan Kondisi Kresna Life dan WanaArtha Life, Ini Perkembangannya · From finance.detik.com.;['Kresna Life'];https://twitter.com/yenichubi;VMG3bloki5no.8Bekasi;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
149;silumanleupeut;1.06e+18;Bos Asuransi Bangkrut Mangkir, Michael Steven VS OJK ...;Pemilik Kresna Life Michael Steven dan jajarannya diklaim tak mengindahkan Perintah Tertulis OJK untuk bertanggung jawab atas kasus gagal ...;['Kresna Life'];https://twitter.com/cnbcindonesia/status/1745595137579962565;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
150;id_laundry;1.16e+18;irvan rahardjo;SEGERA TERBIT : ROBOHNYA ASURANSI KAMI- Pemailitan Kresna Life ( xvi + 294 hal , IPB Press , 2021 ) Sambutan Ketua @BPKN_RI RI;;;KotaSurabaya,JawaTimur;Taman Balai Kota Surabaya, RW 05, Genteng, Ketabang, Genteng, Surabaya, Jawa Timur, 60272, Indonesia;-72.600.876;1.127.468.261
